Collection Unique ID,Suborder,Family,Species name,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (°),Tip angle HW (°),Scale calib factor (px/mm),North_America
WRK-WS-02533,Anisoptera,Aeshnidae,Aeshna juncea,323.882,420.457,41.159,38.597,41.91,41.053,10.001,12.954,10.647,15.092,0.60959596,0.33384893,0.026165471,-0.076614133,0.542743539,0.598176718,111.3371005,108.5112084,94.488,TRUE
WRK-WS-02545,Anisoptera,Aeshnidae,Aeshna juncea,311.517,418.193,40.619,38.746,41.148,39.952,9.705,13.06,10.319,14.552,0.585390947,0.335099338,0.041300717,-0.093702436,0.605128205,0.607272727,134.1603769,113.1139771,94.488,TRUE
22056,Anisoptera,Aeshnidae,Aeshna juncea,304.849,381.744,40.471,39.243,40.555,40.132,9.631,11.726,10.245,12.467,0.605427975,0.24314346,0.025165508,-0.112537025,0.590909091,0.599320883,116.4970913,110.6082582,47.244,TRUE
23286,Anisoptera,Aeshnidae,Aeshna juncea,293.157,357.002,39.836,38.545,40.09,39.688,8.805,11.028,9.589,12.044,0.581837381,0.223466667,-0.006136709,-0.111790725,0.543046358,0.583479789,113.4638086,106.8932423,47.244,TRUE
29621,Anisoptera,Aeshnidae,Aeshna juncea,354.425,441.019,43.688,41.868,43.773,42.439,9.927,12.764,10.88,13.801,0.585589942,0.181546135,0.011007745,-0.127123931,0.571984436,0.590490798,114.4158567,106.9692847,47.244,TRUE
WRK-WS-02512,Anisoptera,Aeshnidae,Aeshna juncea,296.34,393.888,39.254,38.365,40.1,39.624,9.25,12.171,10.054,14.086,0.577988915,0.259615385,0.031534528,-0.112811692,0.563157895,0.610067618,115.8029501,109.8169407,94.488,TRUE
WRK-WS-02527,Anisoptera,Aeshnidae,Aeshna juncea,351.766,467.453,43.847,42.196,44.376,44.238,9.895,13.155,10.806,15.219,0.538278083,0.23492823,0.018054356,-0.095435877,0.617042116,0.589707928,114.105041,106.063579,94.488,TRUE
WRK-WS-02528,Anisoptera,Aeshnidae,Aeshna juncea,336.964,445.507,42.048,40.756,42.99,42.397,9.864,13.039,10.647,14.478,0.552437223,0.263105342,0.030628168,-0.096437815,0.543737575,0.605994152,94.53475342,114.1522882,94.488,TRUE
WRK-WS-02530,Anisoptera,Aeshnidae,Aeshna juncea,347.973,447.604,43.879,42.175,44.662,43.762,9.758,12.404,10.552,14.182,0.594549763,0.218137848,0.029779642,-0.089489117,0.580742227,0.570895522,115.9392961,106.9489021,94.488,TRUE
WRK-WS-02535,Anisoptera,Aeshnidae,Aeshna juncea,303.47,394.384,40.375,37.783,41.18,40.312,9.377,12.34,10.213,13.547,0.580056541,0.248621686,0.035341766,-0.080137547,0.562694301,0.6015625,114.5948997,108.2051103,94.488,TRUE
