Suborder,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW
Anisoptera,355.562,473.946,44.471,42.482,44.535,43.667,10.139,13.504,10.71,14.859,0.56891635,0.270479884,0.050274535,-0.084330851
Anisoptera,341.742,448.367,43.498,40.873,44.111,43.921,10.202,12.806,10.626,14.203,0.628598848,0.45060241,0.055877528,-0.033577018
Anisoptera,402.057,532.893,45.043,43.646,45.53,45.149,11.494,14.584,12.129,17.166,0.616457462,0.313642757,0.046550858,-0.097565006
Anisoptera,418.85,541.976,46.63,44.683,47.032,47.054,11.409,14.33,11.98,16.489,0.598559856,0.353126406,0.05632583,-0.079196293
Anisoptera,364.246,484.128,44.768,42.714,45.339,44.027,10.329,13.547,10.88,15.007,0.605975724,0.326442308,0.047009636,-0.106111913
Anisoptera,377.505,484.061,44.408,42.524,44.873,43.688,10.732,13.885,11.515,15.113,0.523584906,0.315406977,0.029899364,-0.129535727
Anisoptera,385.772,492.18,45.678,43.561,46.292,45.106,10.795,13.145,11.282,14.309,0.583904893,0.274049742,0.041892729,-0.096824177
Anisoptera,400.139,510.704,46.821,44.365,46.884,45.445,10.795,13.631,11.324,14.859,0.587810384,0.302282254,0.028772463,-0.11760975
Anisoptera,378.196,495.966,44.746,43.879,45.127,44.535,10.583,13.356,11.176,14.711,0.604596623,0.300380228,0.040790615,-0.103422425
Anisoptera,337.254,432.14,41.804,39.92,42.376,41.571,10.329,12.637,10.689,14.415,0.571428571,0.321283096,0.05102404,-0.09893211
Anisoptera,356.287,451.444,43.752,42.185,44.704,42.736,10.478,12.594,11.028,14.351,0.616477273,0.306092125,0.056788955,-0.110869985
Anisoptera,350.457,447.787,42.757,41.36,43.54,43.138,10.329,12.764,10.774,13.97,0.602333495,0.314033366,0.042690963,-0.081712719
Anisoptera,349.426,441.199,43.201,40.64,43.773,41.593,10.16,12.827,10.689,13.907,0.636363636,0.233587786,0.046269099,-0.117695377
Anisoptera,409.133,546.177,45.593,43.222,46.038,45.297,11.726,14.817,12.298,16.193,0.60137931,0.345794393,0.06796431,-0.077363063
Anisoptera,398.61,501.744,44.746,42.799,45.381,43.011,11.367,14.161,11.98,15.346,0.603544776,0.256397638,0.037823222,-0.129052436
Anisoptera,425.493,550.574,47.54,45.254,47.604,46.292,11.388,14.436,12.002,15.896,0.614939973,0.247828075,0.032363413,-0.117366132
Anisoptera,417.664,549.3,46.482,44.746,47.011,45.381,11.324,14.647,12.129,16.425,0.595677623,0.244869403,0.035195098,-0.137267008
Anisoptera,374.271,490.075,43.9,42.46,44.45,43.646,10.859,13.758,11.451,15.558,0.593333333,0.295829292,0.046094077,-0.105058686
Anisoptera,404.523,526.909,47.286,45.254,47.519,46.546,10.71,14.182,11.515,15.409,0.568374165,0.243292406,0.025525565,-0.120148803
Anisoptera,333.511,435.438,41.571,40.471,41.593,41.212,10.478,13.102,11.07,14.224,0.571501272,0.313816127,0.022657613,-0.129003881
Anisoptera,416.796,556.454,47.371,46.207,47.879,47.625,10.901,14.52,11.642,16.044,0.588859416,0.255555556,0.027629753,-0.123284582
Anisoptera,375.42,511.685,44.683,44.09,44.683,44.831,10.541,14.055,11.155,15.536,0.576977736,0.293201133,0.028665989,-0.144377217
Anisoptera,400.019,521.508,45.889,44.535,46.186,45.72,10.774,14.055,11.451,15.261,0.591200733,0.275925926,0.029166187,-0.120721796
Anisoptera,361.675,472.328,44.429,41.952,44.746,43.222,10.097,13.377,10.52,14.161,0.618732261,0.219392752,0.028940538,-0.108344513
Anisoptera,413.297,548.299,47.032,46.165,47.35,47.562,10.901,14.584,11.599,16.32,0.48770675,0.309746328,0.020292617,-0.09693405
Anisoptera,391.625,546.829,47.011,45.064,47.265,46.524,10.668,14.647,10.88,15.917,0.622033139,0.206096451,0.039672308,-0.115189546
Anisoptera,367.486,480.316,45.805,43.307,46.038,44.471,10.266,13.716,11.049,14.901,0.60091954,0.282722513,0.031573717,-0.120035629
Anisoptera,402.896,512.511,47.54,44.873,48.006,45.614,10.456,14.012,11.451,15.452,0.543209877,0.26450116,0.018051199,-0.135158277
Anisoptera,456.513,580.923,50.461,48.429,50.8,49.043,10.922,14.372,11.684,15.367,0.60625,0.229607251,-0.001839163,-0.129727216
Anisoptera,407.629,480.131,47.604,45.974,48.197,47.202,10.181,12.277,11.028,14.309,0.422485727,0.169955157,0.00168397,-0.090461086
Anisoptera,410.092,481.514,49.509,46.651,50.229,48.916,10.033,12.277,10.774,14.266,0.543194269,0.273907399,0.017648123,-0.052243798
Anisoptera,487.925,625.285,49.594,47.498,50.356,49.213,12.15,16.066,12.954,16.679,0.578394283,0.330752688,-0.001399151,-0.125297953
