coll_uniq_id,Collection Unique ID,Project Unique ID,Suborder,Family,Genus,Species,Species name,Sex,Wing Side,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (°),Tip angle HW (°),Scale calib factor (px/mm),Country,State,County,North America,Mexico,South America,Central America,Upload Date,Bisque Unique ID,WRK-WS ID,Collection,Scan Device,User,Notes,Filename,Bisque Image Link
28005,28005,UA-000195,Anisoptera,Aeshnidae,Aeshna,clepsydra,Aeshna clepsydra,M,right,360.757,456.654,41.55,41.466,42.651,42.672,10.626,13.441,11.388,14.224,0.575682382,0.317956349,0.027432234,-0.080334689,0.626394052,0.663690476,118.9360076,111.1067833,47.244,United States,New Jersey,Morris,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:36:26,00-NawWDHhKBm4dDHm7jeKD23,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000195.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-NawWDHhKBm4dDHm7jeKD23
24346,24346,UA-000196,Anisoptera,Aeshnidae,Aeshna,clepsydra,Aeshna clepsydra,M,right,344.42,444.708,42.249,41.444,42.333,42.079,10.224,13.102,10.922,14.055,0.6045,0.27917505,0.020628319,-0.121017242,0.593023256,0.656626506,115.7440998,109.195281,47.244,United States,New Hampshire,Rockingham,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:36:10,00-WF3xaxfKPq9pXuBRPfqnjS,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000196.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-WF3xaxfKPq9pXuBRPfqnjS
36573,36573,UA-000944,Anisoptera,Aeshnidae,Aeshna,constricta,Aeshna constricta,F,right,389.89,481.792,43.963,40.407,44.027,41.212,11.303,14.774,12.107,15.558,0.581730769,0.268618387,0.017320575,-0.145575048,0.632867133,0.669387755,114.7505112,107.070608,47.244,United States,Nebraska,Cherry,TRUE,FALSE,FALSE,FALSE,12/13/2017 22:05:11,00-rGuGVQjPHveYTVBpba8wQC,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000944.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-rGuGVQjPHveYTVBpba8wQC
38898,38898,UA-000942,Anisoptera,Aeshnidae,Aeshna,constricta,Aeshna constricta,F,right,352.392,469.641,40.471,41.127,40.746,41.423,10.943,14.118,11.642,15.177,0.561558442,0.269800715,-0.007669698,-0.148836124,0.569090909,0.640167364,113.4583848,103.9847235,47.244,United States,Utah,Box Elder,TRUE,FALSE,FALSE,FALSE,12/13/2017 22:05:10,00-SeWN6CKCkEoXXNTBmPDA5Z,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000942.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-SeWN6CKCkEoXXNTBmPDA5Z
38895,38895,UA-000940,Anisoptera,Aeshnidae,Aeshna,constricta,Aeshna constricta,F,right,400.374,474.634,44.323,41.677,44.598,42.037,11.536,14.076,12.298,15.282,0.588039867,0.206445116,0.018584363,-0.14961188,0.647160069,0.62465374,108.9453546,105.2375351,47.244,United States,Ohio,Erie,TRUE,FALSE,FALSE,FALSE,12/13/2017 20:50:33,00-kFgAVSUdP2FGXDKKDnEQXa,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000940.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-kFgAVSUdP2FGXDKKDnEQXa
22040,22040,UA-000939,Anisoptera,Aeshnidae,Aeshna,constricta,Aeshna constricta,M,right,374.605,495.236,42.651,42.99,43.265,44.196,10.901,14.266,11.875,15.706,0.563600783,0.237547893,0.017513825,-0.128126658,0.59714795,0.626684636,115.2167539,104.6070171,47.244,United States,Nebraska,Cherry,TRUE,FALSE,FALSE,FALSE,12/13/2017 20:50:25,00-KFpGsZjjaFiHRwDRcRbTsN,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000939.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-KFpGsZjjaFiHRwDRcRbTsN
22026,22026,UA-000938,Anisoptera,Aeshnidae,Aeshna,constricta,Aeshna constricta,M,right,391.21,494.874,43.18,41.36,44.302,43.032,11.367,14.351,12.298,15.917,0.605351171,0.240531235,0.032127349,-0.117583347,0.595524957,0.599734043,114.7498189,106.7628806,47.244,United States,Ohio,Medina,TRUE,FALSE,FALSE,FALSE,12/13/2017 20:50:24,00-VVPxc6PmDrqTLRf2Fi4rn8,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000938.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-VVPxc6PmDrqTLRf2Fi4rn8
39650,39650,UA-000104,Anisoptera,Aeshnidae,Aeshna,eremita,Aeshna eremita,F,right,390.933,421.696,46.376,42.968,46.461,45.17,10.626,12.15,11.43,13.695,0.590888383,0.535145267,0.020594302,0.002334606,0.605555556,0.579598145,117.218114,109.9070933,47.244,Canada,New Brunswick,,TRUE,FALSE,FALSE,FALSE,1/8/2018 16:42:45,00-Lw27s5bKKM4LAMp6Gx4Vmh,None,UA,None,None,,UA-000104.tiff,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-Lw27s5bKKM4LAMp6Gx4Vmh
37243,37243,UA-000207,Anisoptera,Aeshnidae,Aeshna,eremita,Aeshna eremita,F,right,359.374,467.977,43.265,42.101,43.265,42.63,10.774,13.695,11.472,15.325,0.602250489,0.294935452,0.036201826,-0.110285038,0.614391144,0.654696133,111.0411889,103.7304794,47.244,Canada,British Columbia,,TRUE,FALSE,FALSE,FALSE,9/28/2017 18:50:53,00-NArHpteQqQXSHua9bGEDJN,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000207.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-NArHpteQqQXSHua9bGEDJN
39651,39651,UA-000206,Anisoptera,Aeshnidae,Aeshna,eremita,Aeshna eremita,F,right,396.246,512.443,45,44.873,46.419,45.699,10.837,13.801,11.557,15.177,0.633834929,0.329319129,0.033370091,-0.107959427,0.58974359,0.648535565,116.4225691,108.6756868,47.244,Canada,New Brunswick,,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:57:44,00-6KbFTYAxYYL5QEWAVcKVrT,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000206.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-6KbFTYAxYYL5QEWAVcKVrT
20798,20798,UA-000194,Anisoptera,Aeshnidae,Aeshna,eremita,Aeshna eremita,M,right,402.091,513.823,46.567,45.762,47.498,46.44,10.478,13.631,11.367,14.838,0.543226382,0.219690064,0.022468082,-0.140261782,0.567970205,0.624821683,117.7268641,110.115097,47.244,United States,Washington,Ferry,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:35:52,00-Jng4ZqxWRgdaBXWfV27N84,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000194.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-Jng4ZqxWRgdaBXWfV27N84
WRK-WS-02515,WRK-WS-02515,WRK-WS-02515,Anisoptera,Aeshnidae,Aeshna,eremita,Aeshna eremita,M,right,416.795,514.537,46.694,44.556,47.159,45.752,11.229,13.981,12.033,15.293,0.546454219,0.273189914,0.016259703,-0.123848721,0.587510994,0.620761246,115.8624494,103.5999276,94.488,Canada,Yukon Territory,,TRUE,FALSE,FALSE,FALSE,6/28/2016 17:00:00,00-9h6qCSB5s4v6Ykcc33su7M,WRK-WS-02515,WRK-WS,Epson NX620,Will Kuhn,,WRK-WS-02515.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-9h6qCSB5s4v6Ykcc33su7M
WRK-WS-02521,WRK-WS-02521,WRK-WS-02521,Anisoptera,Aeshnidae,Aeshna,eremita,Aeshna eremita,M,right,427.805,549.063,47.583,46.006,47.837,46.958,10.986,14.499,11.853,15.843,0.574778761,0.233716475,0.012515216,-0.133305767,0.579464286,0.61990648,116.2339285,104.0154719,94.488,Canada,Northwest Territory,,TRUE,FALSE,FALSE,FALSE,6/28/2016 17:00:00,00-Axb39yNkAwT9yCAeziDpWa,WRK-WS-02521,WRK-WS,Epson NX620,Will Kuhn,,WRK-WS-02521.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-Axb39yNkAwT9yCAeziDpWa
WRK-WS-02522,WRK-WS-02522,WRK-WS-02522,Anisoptera,Aeshnidae,Aeshna,eremita,Aeshna eremita,M,right,416.948,520.299,47.17,45.974,47.826,47.403,10.922,13.801,11.769,16.129,0.613852622,0.201830766,0.018899165,-0.117565974,0.574640288,0.56824147,110.5460303,100.2272498,94.488,Canada,Northwest Territory,,TRUE,FALSE,FALSE,FALSE,6/28/2016 17:00:00,00-zagkHbwYJNuqopCHXQgRii,WRK-WS-02522,WRK-WS,Epson NX620,Will Kuhn,,WRK-WS-02522.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-zagkHbwYJNuqopCHXQgRii
WRK-WS-02525,WRK-WS-02525,WRK-WS-02525,Anisoptera,Aeshnidae,Aeshna,eremita,Aeshna eremita,M,right,390.752,503.71,46.069,44.545,46.493,45.942,10.573,13.885,11.578,16.224,0.567721375,0.24994241,0.01345747,-0.13247667,0.610603291,0.594259622,114.950788,77.45301468,94.488,Canada,Northwest Territory,,TRUE,FALSE,FALSE,FALSE,6/28/2016 17:00:00,00-bLReEGRLhCSNrQUP9K2npn,WRK-WS-02525,WRK-WS,Epson NX620,Will Kuhn,,WRK-WS-02525.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-bLReEGRLhCSNrQUP9K2npn
39648,39648,UA-000088,Anisoptera,Aeshnidae,Aeshna,interrupta,Aeshna interrupta,F,right,434.468,571.183,45.932,44.471,47.117,45.403,11.959,15.706,12.827,17.082,0.597484277,0.267599068,0.036809985,-0.15396857,0.603960396,0.639405205,115.3886148,104.6225452,47.244,Canada,Saskatchewan,,TRUE,FALSE,FALSE,FALSE,12/14/2017 19:48:58,00-zmBUCTTZQAN8LCd5CmAfaR,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000088.tiff,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-zmBUCTTZQAN8LCd5CmAfaR
38922,38922,UA-000098,Anisoptera,Aeshnidae,Aeshna,interrupta,Aeshna interrupta,F,right,401.675,530.588,43.857,43.646,44.027,44.746,11.557,14.753,12.319,16.362,0.564903846,0.274834437,0.011196341,-0.124379127,0.587628866,0.615782665,114.6207768,106.0317512,47.244,Canada,Alberta,,TRUE,FALSE,FALSE,FALSE,12/14/2017 19:48:22,00-3NnDPrjfXHwNueJrgdz3pN,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000098.tiff,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-3NnDPrjfXHwNueJrgdz3pN
42144,42144,UA-000097,Anisoptera,Aeshnidae,Aeshna,interrupta,Aeshna interrupta,F,right,404.49,539.51,44.238,44.344,45.551,45.36,11.24,14.796,11.959,16.235,0.521375465,0.231451237,0.011059699,-0.153239399,0.559292035,0.624511082,110.0073142,103.6100545,47.244,United States,Nebraska,Cherry,TRUE,FALSE,FALSE,FALSE,12/14/2017 19:48:07,00-WXqqEgyyBGp5cYtY7PuoF5,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000097.tiff,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-WXqqEgyyBGp5cYtY7PuoF5
41937,41937,UA-000089,Anisoptera,Aeshnidae,Aeshna,interrupta,Aeshna interrupta,F,right,438.767,587.829,46.863,45.911,47.456,46.778,11.896,15.812,12.552,17.463,0.574933096,0.280542986,0.02063098,-0.144820494,0.556492412,0.631515152,114.4253935,103.390501,47.244,United States,Nebraska,Cherry,TRUE,FALSE,FALSE,FALSE,12/14/2017 19:47:17,00-Jce9v86mw9MyRafEpVwonY,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000089.tiff,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-Jce9v86mw9MyRafEpVwonY
38919,38919,UA-000086,Anisoptera,Aeshnidae,Aeshna,interrupta,Aeshna interrupta,F,right,396.999,537.448,43.286,44.048,44.619,45.085,11.599,14.817,12.488,16.658,0.558823529,0.301408451,0.024498849,-0.132337695,0.615254237,0.616264295,114.9947682,102.3757713,47.244,Canada,Alberta,,TRUE,FALSE,FALSE,FALSE,12/14/2017 19:47:11,00-n9vUGe52uV28DcD6n6pukd,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000086.tiff,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-n9vUGe52uV28DcD6n6pukd
36578,36578,UA-000090,Anisoptera,Aeshnidae,Aeshna,interrupta,Aeshna interrupta,F,right,428.478,559.421,45.593,44.302,46.905,46.207,11.769,15.261,12.594,16.616,0.56498195,0.284470912,0.039813227,-0.104817343,0.591596639,0.621656051,115.5573783,108.5795901,47.244,United States,Minnesota,Stearns,TRUE,FALSE,FALSE,FALSE,12/14/2017 19:47:10,00-zqeczn8hidqiMzNikj2qaU,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000090.tiff,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-zqeczn8hidqiMzNikj2qaU
